metal,mode,entry_usd_long,entry_usd_short,exit_usd,is_n_trades,is_n_long,is_n_short,is_win_rate,is_win_rate_long,is_win_rate_short,is_ann_ret_bp,is_ann_vol_bp,is_sharpe,is_max_dd_bp,is_avg_pnl_bp,is_avg_carry_bp,is_avg_basis_bp,oos_n_trades,oos_n_long,oos_n_short,oos_win_rate,oos_win_rate_long,oos_win_rate_short,oos_ann_ret_bp,oos_ann_vol_bp,oos_sharpe,oos_max_dd_bp,oos_avg_pnl_bp,oos_avg_carry_bp,oos_avg_basis_bp
xau,SHORT,6.0,28.6876791415293,0.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,6.0,28.6876791415293,0.5,3,1,2,1.0,1.0,1.0,309.7453474910243,246.5877855861198,1.2561260759724329,-126.44149251227684,51.3485438314545,21.379051689051693,30.20949214240281,1,1,0,0.0,0.0,,-19.489698211080928,16.616518171777216,-1.1729110761714054,-11.879531082337984,-9.304523954816089,-21.69668458781362,12.632160632997532
xau,LONG,6.0,28.6876791415293,0.5,1,1,0,1.0,1.0,,27.72140520985553,14.953066716876044,1.8538943037396554,-0.14572649572649699,13.209799451417657,-4.222832722832723,17.67263217425038,1,1,0,0.0,0.0,,-19.489698211080928,16.616518171777216,-1.1729110761714054,-11.879531082337984,-9.304523954816089,-21.69668458781362,12.632160632997532
xau,SHORT,6.0,28.6876791415293,0.5,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,6.0,28.6876791415293,1.0,3,1,2,1.0,1.0,1.0,309.7453474910243,246.5877855861198,1.2561260759724329,-126.44149251227684,51.3485438314545,21.379051689051693,30.20949214240281,1,1,0,0.0,0.0,,-19.489698211080928,16.616518171777216,-1.1729110761714054,-11.879531082337984,-9.304523954816089,-21.69668458781362,12.632160632997532
xau,LONG,6.0,28.6876791415293,1.0,1,1,0,1.0,1.0,,27.72140520985553,14.953066716876044,1.8538943037396554,-0.14572649572649699,13.209799451417657,-4.222832722832723,17.67263217425038,1,1,0,0.0,0.0,,-19.489698211080928,16.616518171777216,-1.1729110761714054,-11.879531082337984,-9.304523954816089,-21.69668458781362,12.632160632997532
xau,SHORT,6.0,28.6876791415293,1.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,8.0,28.6876791415293,0.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,SHORT,8.0,28.6876791415293,0.0,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
xau,BOTH,8.0,28.6876791415293,0.5,2,0,2,1.0,,1.0,282.02394228116873,246.26104646368094,1.1452235192331248,-126.44149251227684,70.41791602147293,34.1799938949939,36.47792212647902,0,0,0,,,,0.0,0.0,,0.0,,,
